species,Family,Swim Bladder,B0,B1
American Eel,Anguillidae,physoclistous,0,0
American Shad,Clupeidae,physostomous,-5.301,4.825
Australian Bass,Centrarchidae,physoclistous,-5.72,2.68
Bluegill Sunfish,Centrarchidae,physoclistous,-3.308,6.195
Carp Gudgeon,Eleotridae,physostomous,-5.72,2.68
Common Sole,Soleidae,,0,0
Chinook Salmon,Salmonidae,physostomous,-5.56,3.85
Golden Grey Mullet,Mugilidae,physoclistous ,-7.71,3.82
Kokanee,Salmonidae,physostomous,-6.506,4.669
Largemouth Bass,Centrarchidae,physoclistous ,-3.937,5.723
Macquarie Perch,Percidae,physoclistous ,-8.926,3.994
Murray Cod,Percichthyidae,physostomous,-7.33,2.79
Pacific Lamprey,Petromyzontiformes,,0,0
Rainbow Trout,Salmonidae,physostomous,-5.118,2.927
Silver Perch,Terapontidae,physoclistous ,-3.91,1.39
Tiger Muskie,Esocidae,physostomous,-3.926,1.957
Walleye,Percidae,physoclistous ,-4.957,2.838
Western Brook Lamprey,Petromyzontiformes,,0,0
White Sturgeon,Acipenseridae,physostomous,0,0
