nidId,latitude,longitude,drainageArea,maxDischarge
KY00728,38.28828,-84.55619,1.35,
OK20994,35.70340894,-95.13637547,,200
ND01160,47.15638543,-102.7706122,,
OK20998,35.67191196,-95.18729125,,20
IL50526,38.53781,-89.60861,0.14,2930
IL50527,38.53631,-89.60401,1.23,230
IL50006,39.57607,-89.51917,,
NC02637,35.235369999999996,-81.26506,75,
IL50416,39.58123,-89.52183,0.02,9
FL00155,29.890338999999997,-81.7066,0,11170
SD02113,45.91173557,-102.5430644,,2400
NV10562,36.081700000000005,-115.1988,172.1,13000
MD00157,39.7075,-77.4983,1.6,350
KS02525,38.402,-98.048761,5.4,
NV10406,36.15305,-115.35468,55.2,110198
KS02523,39.628817999999995,-99.581016,,3190
KS00202,38.30566897,-95.24361802,2.11,
OR00171,42.488059989999996,-120.1316681,4.39,42
ME00162,45.25166667,-68.98833333,407,
OR03754,42.00751876,-120.5552368,32.7,0
KS02480,37.6196021,-96.17342887,1.35,4320
NV10621,36.11394,-115.35303,10.5,31271
ME00062,43.21846,-70.810772,86,
ME00156,45.183577,-69.21912,352,
UT20816,40.32258311,-112.2119885,0,
WI01047,44.08698,-90.65884,19,1040
IL50191,38.53941,-89.58751,0.44,16
OR00358,43.88024139,-124.1325531,50,10000
ME00477,46.662841,-67.897494,0,
OR01521,42.2548294,-120.8420334,0.59,40
ME00604,45.452075,-69.532694,0,
LA00171,31.120189999999997,-93.07712,1,510
KS01709,39.882659,-99.566825,0.5,650
KS01584,39.332750999999995,-98.833508,,1077
KS01200,37.582819,-99.380413,,4239
NV10625,36.044779999999996,-115.29978,5.5,10071
ME00748,44.20611111,-70.53166667,24,
TX00331,32.082181,-94.388882,0,0
NY00662,44.297200000000004,-75.3663,626,1731
TX07435,28.477916999999998,-98.632688,0,0
ME00164,45.457069,-69.530143,50,
KS01586,39.180191,-98.8578,,1347
CA00921,41.987,-120.5917,2.18,
KS01893,37.60047307,-97.61329071,,4426
KS03381,39.599413999999996,-100.082638,,1283
KS01241,39.212081,-95.035844,,810
ME00226,46.69,-67.89166667,5,
KS01585,39.339909999999996,-98.708562,,1150
MT03977,46.01806,-110.329755,0,
KS00284,37.697458,-96.912381,,3000
KS01901,39.119489,-95.867575,,720
KS00190,38.245753,-95.207352,,
KS00192,38.201175,-95.135311,,5054
TX06510,33.063882,-96.233462,0,0
NV10622,36.02993,-115.31731,68.3,148650
TX07440,28.416425,-99.569047,0,0
OK21118,34.4726989,-97.04300153,,940
KS01825,39.549808999999996,-99.410259,,1131
KS01716,39.752469,-99.491941,,1350
KS01757,39.832178,-101.246118,3.65,
TX04800,32.260042,-101.410311,1.25,1690
KS02553,37.60644723,-97.63157683,10.28,36057
KS01560,39.599544,-99.997465,,3390
KS01243,39.025832,-95.116868,,
ME00183,43.422419999999995,-70.664997,99,
ME00345,46.67027778,-67.90111111,5.6000000000000005,
TX07495,32.613454,-102.110628,10,0
VA041032,37.445,-77.4278,0.25,
ME00182,43.417500000000004,-70.63583333,100,
NV10771,36.08049,-115.32868,1.3,11600
KS01285,38.19086856,-94.97331317,,530
NC00109,34.02222,-77.95278,,320
UT00503,37.77683806,-110.720703,0,
KS01435,37.156552,-95.715197,,
NC02644,35.2625,-81.2992,815,
LA00170,31.14463,-93.15329,1,270
KS01437,37.120343999999996,-95.715217,,
TN06508,35.097778,-85.347778,0.53,
TX04860,33.037906,-96.807602,0.8,4440
SD00441,44.696667,-99.815,,3570
VA041033,37.4497,-77.43,,
VA061087,38.5566,-77.594,,
IL50505,38.53441,-89.58751,0.26,719
KS01713,39.8046,-99.295673,,1100
KS02637,37.4319936,-95.79313622,1.06,
SC00225,34.005,-80.94167,1,800
KS01436,37.186873999999996,-95.950553,,770
KS01619,39.237406,-97.468586,,1360
KS01284,38.055451999999995,-94.995118,1.9100000000000001,
AR00085,34.83333333,-92.28333333,,2268
KS01844,39.104561,-98.84514,0.8200000000000001,1131
KS02595,39.112488,-96.377086,,1890
KS01708,39.586059999999996,-99.126997,,
KS01327,38.59738,-95.963648,,860
AR00086,34.83,-92.27916667,,741
KS01982,39.774352,-98.921668,,1450
KS00212,37.351652,-98.654595,,1130
KS01977,39.876042,-98.99659,,1362
KS00419,38.196031999999995,-95.838996,,
KS01382,38.545184,-94.792798,,440
KS01805,38.50393,-98.104433,,1405
SC00227,34.03635,-80.75248,4,
KS01330,38.655469,-96.03749,,899
KS01570,38.75509093,-95.9417993,,
MO31752,37.71746758,-92.12389641,359,
SC00229,33.99926,-80.93071,0,
KS01426,39.222975999999996,-98.158719,,670
KS00182,37.73919348,-95.25815249,1.75,
KS00046,37.181444,-97.325122,,539
VA033002,38.1017,-77.3478,,
KS02636,37.628765,-95.846521,,229
KS01562,39.592194,-100.082628,,
KS01551,39.976267,-99.742883,,1100
KS01712,39.614469,-99.454391,,550
KS00416,38.394106,-95.660453,,
KS02469,38.75426072,-95.16323588,,813
KS01969,39.362691,-101.470293,12,9900
KS00312,38.249587,-96.64453,,610
KS01890,37.652463999999995,-97.657107,,5840
KS01972,39.223881,-101.917265,87,
KS01804,38.504008999999996,-97.966058,,1477
KS01444,38.779295,-96.566282,,
WA00657,46.856741,-118.966065,0.11,27
KS00184,38.034591,-95.46832,,400
UT53582,37.53050062,-109.5141379,,
KS01983,39.788892,-98.71993,,
KS01339,38.344775999999996,-96.906757,,727
KS01379,38.529793999999995,-94.635054,,560
KS02609,39.824483,-97.138428,,
KS01553,39.860425,-100.09065,,1550
KS01557,39.882217,-99.762554,0.78,986
KS01329,38.314157,-96.111452,,292
KS01823,39.347097999999995,-99.571957,,1950
KS01446,38.743165999999995,-96.710235,,378
KS00191,38.151115,-95.46748,,
KS01756,39.853729,-101.162547,6.91,
KS01552,39.845884999999996,-100.043997,,1415
MI00515,45.195800000000006,-84.952,58,3650
KS02652,37.861605999999995,-95.825454,,
KS01981,39.803332,-98.930988,,968
KS01281,39.092514,-97.937482,,
KS01843,39.005390999999996,-98.858701,,1075
NV10770,36.097719999999995,-115.33861,4.6000000000000005,25100
KS02654,37.984511,-95.706823,,1720
KS01380,38.465716,-94.746876,,820
KS01714,39.818081,-99.090124,,
KS01786,39.729465,-97.68436,,
KS01705,39.925999,-99.529203,0.87,1300
KS01971,39.239183,-101.582356,6.22,5370
KS01328,38.684577999999995,-96.018979,,351
SC00228,34.09149,-80.81068,3,
