Species,Family,Common,FeedingGuild,Habitat,WaterType,Host,Migrant
Acipenser fulvescens,Acipenseridae,Lake sturgeon,IN,Ben,BW,null,Spring
Alosa aestivalis,Clupeidae,Blueback herring,FF,Pel,Either,null,Spring
Alosa pseudoharengus,Clupeidae,Alewife,FF,Pel,Either,null,Spring
Ambloplites rupestris,Centrarchidae,Rock bass,CA,Lit,either,Yes,null
Ameiurus brunneus,Ictaluridae,Snail bullhead,GE,Ben,either,null,null
Ameiurus catus,Ictaluridae,White catfish,GE,Ben,either,null,null
Ameiurus melas,Ictaluridae,Black bullhead,GE,Ben,either,Yes,null
Ameiurus natalis,Ictaluridae,Yellow bullhead,GE,Ben,either,Yes,null
Ameiurus nebulosus,Ictaluridae,Brown bullhead,GE,Ben,either,Yes,null
Ameiurus platycephalus,Ictaluridae,Flat bullhead,GE,Ben,either,null,null
Amia calva,Amiidae,Bowfin,CA,Pel,Either,Yes,null
Ammocrypta clara,Percidae,Western sand darter,IN,BFS,Either,Yes,null
Anguilla rostrata,Anguillidae,American eel,CA,Ben,Either,Yes,Spring-Summer
Aplodinotus grunniens,Sciaenidae,Freshwater drum,CA,Ben,Either,Yes,null
Campostoma anomalum,Cyprinidae,Central stoneroller,HE,RRP,SS,Yes,null
Carassius auratus,Cyprinidae,Goldfish,GE,Pool,Either,Yes (introduced fish),null
Carpiodes carpio,Catostomidae,River carpsucker,IN,Ben,either,null,Spring
Carpiodes cyprinus,Catostomidae,Quillback,IN,Ben,either,null,Spring
Catostomus catostomus,Catostomidae,Longnose sucker,IN,Ben,either,null,Spring
Catostomus commersonii,Catostomidae,White sucker,IN,Ben,either,Yes,Spring
Centrarchid spp.,Centrarchidae,Unid. Centrarchidae,unknown,Lit,either,null,null
Catostomus spp.,Catostomidae,Unid. Catostomidae,IN,Ben,unknown,null,Spring
Chrosomus eos,Cyprinidae,Northern redbelly dace,IC,RRP,Either,Yes,null
Chrosomus neogaeus,Cyprinidae,Finescale dace,IC,Pool,Either,null,null
